address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0xa6c322ff8e1178c4524f42ee855026137bc5ca06,800 ,0,0,0,800 ,ENA
0x7c2fcca59558f835c8c7f8fa6f4116f43a81d892,800 ,0,0,0,800 ,ENA
0x7afb35b8e4e54ef585b59d3b519f273d07236560,800 ,0,0,0,800 ,ENA
0x23c423b9d3147443622a3ed95b4b78432e1f211f,800 ,0,0,0,800 ,ENA
0x44dfc581408a94eaa6f111c80ac3fc37f8654fa9,800 ,0,0,0,800 ,ENA
0xee9c88105fbae04c7a85267aeef52eb6b95dd76c,800 ,0,0,0,800 ,ENA
0x676b38971e5939a9427fbf53534f9f44cd2295eb,800 ,0,0,0,800 ,ENA
0x58ce69a90cbad391914fc01a8914e80301aeea39,800 ,0,0,0,800 ,ENA
0x5f717f61b09438ca13c78678dbb1ab9775550534,800 ,0,0,0,800 ,ENA
0xd4d72109dabf65d6cf1e68e9867a9167e324bf66,800 ,0,0,0,800 ,ENA
0xd1d9ab7e677122efc2fff4b8a9e9b32f6a9254ce,800 ,0,0,0,800 ,ENA
0xa9175ec1228baf992945874da48cb1db978d1136,800 ,0,0,0,800 ,ENA
0x69b8fe3bb10d5c110c9d582fd290a00e60a66a66,800 ,0,0,0,800 ,ENA
0x57981be6868873dfb28a4893c185925000ea5291,800 ,0,0,0,800 ,ENA
0xe081bf908226e8195dabd8bb4574aa27488b12f2,800 ,0,0,0,800 ,ENA
0xaa38b8743dfec0c05bd2ec66ac33b23c665da68e,800 ,0,0,0,800 ,ENA
0x51de2758a71dc826ad2662b3ca619a42e48101f8,800 ,0,0,0,800 ,ENA
0xf84f67a1b9cb69826aa40cf9db2bb80957f4b102,800 ,0,0,0,800 ,ENA
0x014f402eb0a421dfdd82ea01d9c02c2a800b3c07,800 ,0,0,0,800 ,ENA
0x744ccda67b4c7233b3d3d4a84e1df7c39805e5de,800 ,0,0,0,800 ,ENA
0x5bedf74266403c07851ae3025a43169cfdea58f4,800 ,0,0,0,800 ,ENA
0x220f8a0ae546eec31d965809b38a884d0dbc7eb6,800 ,0,0,0,800 ,ENA
0x76a44191880ce185e544e7ef5ef1634bace23b8d,800 ,0,0,0,800 ,ENA
0xf2cbe1445e35eb434ffc1e690a938daeb0a7f05c,800 ,0,0,0,800 ,ENA
0x4bc907081749c6ff2c8b261699bdfd57e64afaa6,800 ,0,0,0,800 ,ENA
0xef49d1a0275380a1b908eed6e1298dc8a7313409,800 ,0,0,0,800 ,ENA
0xe5da8eec5a8fe561ba85d03302336a6ffd5943fe,800 ,0,0,0,800 ,ENA
0xda9ec6bc21c3a86231747d30e1988abbba79ea39,800 ,0,0,0,800 ,ENA
0xf7b2af963621ec0355bb5ca34cea315837b5d8be,800 ,0,0,0,800 ,ENA
0xd991667255c2f45904583947e8d927251db16c0d,800 ,0,0,0,800 ,ENA
0x455291c84df43ab9f9b49529216a681d80bc9d73,800 ,0,0,0,800 ,ENA
0x004dfead1c9b5df4b0d19754fdf875b1b640d95d,800 ,0,0,0,800 ,ENA
0xdd18b2c524df2bcd65d1a279b00a4f16ae0ede3c,800 ,0,0,0,800 ,ENA
0xa8ece0ad5ca060ae7dc62199389a41c5d06d900a,800 ,0,0,0,800 ,ENA
0x00523902c3adaf913c9dc0113542841a50cb519d,800 ,0,0,0,800 ,ENA
0x63a34ee2e014893533f72aa7c8e361c0dde0bbef,800 ,0,0,0,800 ,ENA
0x4d1fa31554be0084854375143f13bd343f80ead5,800 ,0,0,0,800 ,ENA
0x31ff8a78cef3da86f6c60a5d4f16d51d89fff446,800 ,0,0,0,800 ,ENA
0x4d1c497807d13be465f0c501d49a96e3ed3cab9e,800 ,0,0,0,800 ,ENA
0x14ba1b72a3f68b9ce21c4e04733a163a925ba9bd,800 ,0,0,0,800 ,ENA
0xa395b94616e9faa9a8a7ff51b6c52efecd2076b9,800 ,0,0,0,800 ,ENA
0x3cb3100490ce271a06a293930cf020415ec7ba8a,800 ,0,0,0,800 ,ENA
0xdde8d43567f956285b67feffdb6a767638940fe7,800 ,0,0,0,800 ,ENA
0xe3de69412391b36256d82f060a577951c98f9c23,800 ,0,0,0,800 ,ENA
